Name,Date,Rate,Votes,Genre,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening
Kingdom,2020,8.2,"1,115","Animation, Action, Drama",None,Series,TV-MA,104,None,Mild,No Rate,No Rate,Mild
Sky Rojo,2020,6.6,"7,906","Action, Adventure, Crime",31 ,Series,TV-MA,16,Severe,Severe,Moderate,Severe,Moderate
Death Wish,2018,6.3,"69,408","Action, Crime, Drama",107 ,Film,R,-,Mild,Severe,Severe,Mild,Severe
Nurses,2018,5.8,"1,755",Drama,None,Series,TV-PG,20,No Rate,No Rate,No Rate,No Rate,No Rate
2 Hearts,2020,6.2,"2,685","Drama, Romance",101 ,Film,PG-13,-,Mild,None,Mild,None,None
Transparent,2020,7.7,"22,003","Comedy, Drama",30 ,Series,TV-MA,42,Severe,None,Severe,Moderate,Moderate
Dressed to Kill,1980,7.1,"39,056","Crime, Drama, Mystery",104 ,Film,R,-,Severe,Severe,Moderate,Mild,Moderate
Close Enough,1980,7.9,"7,486","Animation, Comedy, Drama",23 ,Series,TV-14,24,Moderate,Moderate,Moderate,Moderate,Mild
Wij,2018,5.7,"2,461",Drama,100 ,Film,Unrated,-,Severe,Severe,Moderate,Moderate,Severe
Ringu,1998,7.2,"66,897","Horror, Mystery",96 ,Film,Not Rated,-,None,Mild,None,Mild,Severe
Morte a Venezia,1971,7.4,"20,085","Drama, Romance",130 ,Film,GP,-,None,None,None,Mild,Moderate
Miller's Crossing,1990,7.7,"131,196","Crime, Drama, Thriller",115 ,Film,R,-,Mild,Severe,Mild,Moderate,Moderate
Jack Ryan: Shadow Recruit,2014,6.2,"127,667","Action, Drama, Thriller",105 ,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate
Vanderpump Rules,2014,5.5,"2,404",Reality-TV,43 ,Series,TV-14,177,No Rate,No Rate,No Rate,No Rate,No Rate
The Wolf Man,1941,7.3,"25,483","Horror, Mystery, Romance",70 ,Film,Passed,-,None,None,None,None,None
Heist,2001,6.5,"34,933","Action, Crime, Drama",109 ,Film,R,-,Mild,Severe,Severe,Mild,Mild
Backdraft,1991,6.7,"76,341","Action, Crime, Drama",137 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe
Strictly Ballroom,1992,7.2,"26,277","Comedy, Drama, Music",94 ,Film,PG,-,Mild,Mild,Mild,None,None
Regression,2015,5.7,"38,574","Crime, Drama, Mystery",106 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
The Squid and the Whale,2005,7.3,"81,402","Comedy, Drama",81 ,Film,R,-,Moderate,Mild,Severe,Mild,Mild
Extraction 2,2022,No Rate,No Votes,"Action, Thriller",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
Single White Female,1992,6.4,"34,935","Drama, Thriller",107 ,Film,R,-,Moderate,Moderate,Moderate,Mild,Moderate
Wolf Creek,2005,6.2,"70,334","Horror, Thriller",99 ,Film,R,-,Mild,Severe,Severe,Moderate,Severe
A Girl Walks Home Alone at Night,2014,7.0,"33,553","Drama, Horror, Romance",101 ,Film,Not Rated,-,Mild,Moderate,Mild,Severe,Moderate
The Next Three Days,2010,7.3,"191,826","Action, Crime, Drama",133 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate
Frantic,1988,6.9,"51,712","Crime, Drama, Mystery",120 ,Film,R,-,Mild,Moderate,Mild,Moderate,Moderate
Gavin & Stacey,1988,8.1,"18,334","Comedy, Romance",29 ,Series,TV-14,22,Mild,None,Mild,Moderate,None
Ji qi zhi xue,2017,5.2,"9,540","Action, Sci-Fi, Thriller",109 ,Film,R,-,Mild,Moderate,Mild,Mild,Mild
W lesie dzis nie zasnie nikt,2020,4.8,"8,886","Horror, Thriller",102 ,Film,TV-MA,-,Moderate,Severe,Moderate,Mild,Moderate
The Way Back,2010,7.3,"113,632","Adventure, Drama, History",133 ,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate
Lions for Lambs,2007,6.2,"48,868","Crime, Drama, Mystery",92 ,Film,R,-,None,Moderate,Moderate,None,Mild
Wanderlust,2012,5.6,"74,620","Comedy, Romance",98 ,Film,R,-,Severe,None,Moderate,Moderate,None
Dave Chappelle: Sticks & Stones,2019,8.5,"23,829",Comedy,65 ,Film,TV-MA,-,None,None,Severe,None,None
Hercules: The Legendary Journeys,2019,6.5,"28,825","Action, Adventure, Drama",44 ,Series,TV-G,111,Mild,Moderate,Mild,Mild,Moderate
Sesame Street,2022,No Rate,No Votes,"Adventure, Comedy, Crime",None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate
October Faction,2020,6.2,"9,902","Adventure, Drama, Fantasy",39 ,Series,TV-MA,11,Mild,Moderate,Moderate,Moderate,Mild
The Pelican Brief,1993,6.6,"82,328","Crime, Drama, Mystery",141 ,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Mild
Coupling,1993,8.5,"44,162","Comedy, Romance",30 ,Series,TV-14,28,Mild,None,Moderate,Mild,None
The Last Starfighter,1984,6.8,"40,509","Action, Adventure, Sci-Fi",101 ,Film,PG,-,Mild,Mild,Mild,None,Mild
Your Highness,2011,5.5,"99,591","Adventure, Comedy, Fantasy",102 ,Film,R,-,Moderate,Moderate,Severe,Moderate,Mild
