Name,Price,Rating,Img
"HP Envy 15t Laptop - Intel Core i7-6500U, 15.6 Inch Touch, 1TB, 16GB, 4GB GTX 950M, Win 10, Silver","14,000 EGP",No Rate,https://m.media-amazon.com/images/I/71IeSibh9KL._AC_UL320_.jpg
"DELL Latitude 5300 Laptop - Intel Core i5-8365U, 8GBRAM, 256GB PCIe NVMe M.2 SSD, Intel UHD 620 Graphics, 13.3 Inch FHD, backlight Keyboard, Fingerprint Reader, Windows 10 - Black","12,977 EGP",4.0 out of 5 stars,https://m.media-amazon.com/images/I/51t-xMrizwS._AC_UL320_.jpg
"HP Pavilion 15-dk0056wm Gaming laptop - Intel Core i5-9300H, 8 GB RAM, 256GB SSD, NVIDIA GeForce GTX 1650 4GB GDDR6 Graphics, 15.6 inch FHD IPS, backlit keyboard, Windows 10 - Shadow black",No Price,No Rate,https://m.media-amazon.com/images/I/81hd1cDHZ-L._AC_UL320_.jpg
"Lenovo Legion 5 Gaming Laptop - Intel 10th Gen Core i7-10750H, 16GB DDR4-2933, 1TB HDD and 256GB SSD","20,499 EGP",No Rate,https://m.media-amazon.com/images/I/41Q0xdBvnDS._AC_UL320_.jpg
"Dell Inspiron G5 5500 Gaming Laptop - Intel Core i7-10750H, 15.6 inches, 512 SSD, 16 GB RAM, NVIDIA GeForce GTX 1650 4GB - Black","20,850 EGP",5.0 out of 5 stars,https://m.media-amazon.com/images/I/81Z6fkaA-hS._AC_UL320_.jpg
"Dell Latitude 5400 Laptop - Intel Core i5-8265U, 1 TB, 8 GB RAM, 14 Inch, Intel UHD 620 Graphics, Ubuntu - Black","10,599 EGP",No Rate,https://m.media-amazon.com/images/I/51sJHG1cLrL._AC_UL320_.jpg
"2021 New Acer Nitro 5 Gaming Laptop, Intel 6-Core i7-9750H Up to 4.5 GHz, 15.6"" FHD IPS 144Hz Display, NVIDIA GeForce RTX 2060, 16GB DDR4, 1TB NVMe SSD, Backlit Keyboard, Win 10 + Oydisen Cloth","25,500 EGP",No Rate,https://m.media-amazon.com/images/I/71gB3wldVGL._AC_UL320_.jpg
"Asus GA401IV-HE137T Gaming Laptop, AMD Ryzen9-4900HS, 16GB DDR4 RAM","31,999 EGP",No Rate,https://m.media-amazon.com/images/I/41W527s8BuS._AC_UL320_.jpg
"Asus, Vivobook, 15, K513EA-BQ913T, Laptop, Intel Core i3-1115G4, 4GB RAM, 256GB SSD, Intel UHD Graphics, 15.6 FHD, Win10- Transparent Silver","8,899 EGP",No Rate,https://m.media-amazon.com/images/I/31OG71Bsa5L._AC_UL320_.jpg
"Dell Latitude 3410 Laptop - Intel 10th Gen Core i5-10210U, 8GB RAM, 1TB HDD,  Integrated Intel UHD Graphics, 14 HD, Ubuntu","16,981 EGP",No Rate,https://m.media-amazon.com/images/I/61tiMloiutL._AC_UL320_.jpg
